feature	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	241008_M274_01_HILIC_neg_B1.mzXML	241008_M274_01_HILIC_neg_B10.mzXML	241008_M274_01_HILIC_neg_B11.mzXML	241008_M274_01_HILIC_neg_B12.mzXML	241008_M274_01_HILIC_neg_B13.mzXML	241008_M274_01_HILIC_neg_B14.mzXML	241008_M274_01_HILIC_neg_B15.mzXML	241008_M274_01_HILIC_neg_B16.mzXML	241008_M274_01_HILIC_neg_B17.mzXML	241008_M274_01_HILIC_neg_B18.mzXML	241008_M274_01_HILIC_neg_B19.mzXML	241008_M274_01_HILIC_neg_B2.mzXML	241008_M274_01_HILIC_neg_B20.mzXML	241008_M274_01_HILIC_neg_B21.mzXML	241008_M274_01_HILIC_neg_B22.mzXML	241008_M274_01_HILIC_neg_B23.mzXML	241008_M274_01_HILIC_neg_B3.mzXML	241008_M274_01_HILIC_neg_B4.mzXML	241008_M274_01_HILIC_neg_B5.mzXML	241008_M274_01_HILIC_neg_B6.mzXML	241008_M274_01_HILIC_neg_B7.mzXML	241008_M274_01_HILIC_neg_B8.mzXML	241008_M274_01_HILIC_neg_B9.mzXML	241008_M274_01_HILIC_neg_BHI.ctr..mzXML	241008_M274_01_HILIC_neg_Bifido_01.mzXML	241008_M274_01_HILIC_neg_Bifido_02.mzXML	241008_M274_01_HILIC_neg_HM008.mzXML	241008_M274_01_HILIC_neg_HM013.mzXML	241008_M274_01_HILIC_neg_HM014.mzXML	241008_M274_01_HILIC_neg_HM016.mzXML	241008_M274_01_HILIC_neg_HM017.mzXML	241008_M274_01_HILIC_neg_HM018.mzXML	241008_M274_01_HILIC_neg_HM021.mzXML	241008_M274_01_HILIC_neg_HM032.mzXML	241008_M274_01_HILIC_neg_HM039.mzXML	241008_M274_01_HILIC_neg_HM042.mzXML	241008_M274_01_HILIC_neg_HM050.mzXML	241008_M274_01_HILIC_neg_HM051.mzXML	241008_M274_01_HILIC_neg_HM052.mzXML	241008_M274_01_HILIC_neg_HM057.mzXML	241008_M274_01_HILIC_neg_HM058.mzXML	241008_M274_01_HILIC_neg_HM059.mzXML	241008_M274_01_HILIC_neg_HM062.mzXML	241008_M274_01_HILIC_neg_HM065.mzXML	241008_M274_01_HILIC_neg_HM066.mzXML	241008_M274_01_HILIC_neg_HM095.mzXML	241008_M274_01_HILIC_neg_HM097.mzXML	241008_M274_01_HILIC_neg_HM099.mzXML	241008_M274_01_HILIC_neg_HM102.mzXML	241008_M274_01_HILIC_neg_HM105.mzXML
FT0001	57.9764664722937	57.9764664722937	57.9764664722937	35.4898281943076	35.4898281943076	35.4898281943076	1	NA	NA	NA	NA	NA	3.44000750771478	3.57862552932101	3.89706012944913	3.55606657593841	NA	NA	3.65876692950081	NA	NA	3.82675535428963	3.76328733907303	NA	NA	3.78730319654576	NA	NA	NA	3.77944500628596	4.2243182562112	4.09689568262858	4.16886630852153	3.52970849856122	4.09480460217457	4.24555011209475	NA	3.53814283404308	4.73066896356448	NA	4.27062481858754	NA	3.94364540979456	4.13925832191812	NA	NA	4.08671047343802	NA	4.329274412378	NA	NA	NA	NA	NA	NA	3.94127748414173	3.90919733999277
FT0002	61.9903182992782	61.9894173278475	61.9921764886185	54.7021128401583	51.3512476580511	56.8140990611102	53	6.76746407978065	6.52716251895438	6.46257484517385	6.86595752710919	6.77026186852025	6.47233830473979	6.62782076826241	6.57697458559863	6.61366268039772	6.72888441158917	6.338790509813	6.8236794807306	6.95664244244254	6.82137386105863	6.93806632425615	6.74727399821663	6.8825008051049	6.63553227699603	6.93437929463571	6.92216795759699	6.41425603437895	6.67409601829648	6.83552950369236	5.518803691088	7.16394137119637	6.93368640921778	6.59117217493717	7.16929984552841	7.00816121708254	6.72062475482456	6.45978668128431	7.20376041414103	6.82569155131995	7.28325284404607	6.82291749466119	7.01897864825433	6.5842003623746	6.83062915531756	6.65138475614017	6.54003224360933	7.42235430289531	7.38961000572096	6.97161210931164	6.83074282996102	7.25574782752427	7.41463240829431	7.27802031973903	7.07976820633923	6.9174172426752	6.84012790399364
FT0003	62.9860731793309	62.9856022165465	62.9868677348367	54.7021128401583	51.3512476580511	56.8140990611102	51	4.40534255288354	4.35586211366835	4.11574440688009	4.53217076601708	4.44131573628879	4.11941192441533	4.30935934482683	4.34840761807039	4.27170040158756	4.29814596356509	3.97811048193064	4.51353317818654	4.59894484507715	4.48973313490536	4.58686176274665	4.39506143467733	4.5309226376323	4.2836989564822	4.61081555636194	4.5765350282815	4.08812953378664	4.3244512108151	4.51142774558094	3.12976884970175	4.79183222166222	4.5365310042314	4.21281390324368	4.77749741439051	4.64835790307157	4.37615009587086	4.14508251536012	4.82640945587325	4.47762919912649	4.91321193624495	4.47122586058259	4.63554153437971	5.0306630602716	4.45933809797609	4.31999000527482	4.1770163891733	5.03021593230519	5.02618876924011	4.60226902689715	4.43079210619829	4.87228557764759	5.04173755351648	4.91134309177457	4.67202804101902	4.60599739839551	4.52989526324672
FT0004	63.9927478294892	63.9925033584708	63.993030757876	54.639869962426	51.3512476580511	56.8140990611102	56	4.52959236433101	4.48323804899686	4.2462180423813	4.66282010863414	4.57655234660122	4.24748087384549	4.35606726522926	4.4723291688636	4.39999204150172	4.4876798282545	4.1083948762102	4.63154516368669	4.73201457799512	4.61490786400378	4.71013181537015	4.59498994332529	4.67460121996395	4.41234607095979	4.73922181102313	4.69769989496483	4.21520868621941	4.46212805038406	4.58790254896114	3.2637966511878	4.94535537411644	4.69561658114478	4.36344530551852	4.93118216688162	4.77034947872948	4.49677618556954	4.21966818866702	4.98330555721137	4.61514231288659	5.06296881735402	4.63952526094261	4.7446267870685	5.17595554155205	4.60828001171697	4.39684732428188	4.31312177784945	5.19708468360029	5.16232715773956	4.73772953189464	4.61507451754696	5.00687373402057	5.19327205685081	5.05137311640705	4.84654296170506	4.68256818643315	4.63457339862645
FT0005	68.9959582243592	68.9958276151934	68.9961122388876	39.5715152568239	38.5204146109935	40.2429205962459	8	3.38181307366639	3.67725388244356	3.44224126426312	3.65530353313092	3.1189464111484	3.24416548142331	3.62268453229725	3.28580831715152	3.16065598488629	3.26938997960197	3.86931320423054	3.57561159165555	4.94908412963224	3.70293017796005	3.93797052077294	2.8914328765031	3.6598755939059	3.65068204166612	4.12928959760574	3.73893030148844	3.66162258923051	3.63517849717937	3.7991624937827	2.17533543658906	4.72752836717292	4.45786275712179	3.91727230961377	4.45011714426632	4.30236976102718	4.39642653998978	4.11963334791454	5.05697404763476	4.48478211633345	4.78074346978869	4.27969038739484	4.61762578282529	4.83472204397059	4.54714536044847	4.46280662351071	4.2114610985586	4.59719698710651	4.86464599429533	4.06990880406543	4.4392480823719	4.81128593014693	4.77195361963296	4.70908114526794	4.53881329813581	4.52275866356442	4.492308743995
FT0006	71.0138856417541	71.0137219683493	71.0141102786966	52.522881181556	50.739632029302	55.6393080291411	33	4.34653994355373	4.20044727256893	4.00261703224623	4.29403990175025	4.22546244826581	4.00177705853461	4.13500977122867	4.14301119962808	4.16385199455563	4.31796547459844	3.89947006477393	4.28194947694994	4.44283537299972	4.31028540296126	4.34969041820536	4.25643845262915	4.43797909502159	4.19538508155158	4.40152864561509	4.40792527000965	3.85525894271596	4.11150759991882	4.31979456094266	3.10472586363506	4.59869050728909	4.55188275117683	3.98954844003052	4.40670512722814	4.25232330438278	4.36450540336065	4.18623074239072	4.83153539680202	4.32658853614546	4.89182833494372	4.30718188411305	4.45593060223862	4.6983053849885	4.44503662786309	4.33941835052976	4.19221532370268	4.57042066096761	4.88809920953668	4.54289019892836	4.27555544598794	4.83651316903266	4.83208925294445	4.66776918841969	4.470776065652	4.48783356674102	4.36304423635593
FT0007	71.0139756620171	71.0139756620171	71.0139756620171	83.8494078158164	83.8494078158164	83.8494078158164	1	3.14855365735221	3.04457581577228	3.00359092396171	2.88087407319692	2.90747071642171	2.86217169825912	2.95771527196606	2.6262088207893	2.87659899296898	3.08572771973164	2.94641322100258	3.04366525397717	2.96351752478925	3.00852528579451	2.6669361393128	3.11927664593268	2.76366461391782	2.98408861172349	3.11900131008379	2.90516035315738	2.89686772425617	2.93147318600068	2.9965121075167	3.03715250030336	2.84407150062615	3.29808554463059	2.62758966973858	3.08071792872922	2.52101827350328	3.01920071366539	3.17665772312159	3.52263309128877	3.02931891732626	3.42162207902807	2.13470515657023	3.576604947671	3.32885381018641	3.51776265303489	2.83879312752798	3.11438222278435	3.15667636144844	3.4176884365078	3.09879190896601	2.99225738001251	3.21380732671816	3.36771487594324	3.44159389393637	2.88942858984745	3.53722715513295	3.24465540954697
FT0008	73.0296307975942	73.0295450845274	73.0297165106609	404.23199456666	402.789403799383	405.674585333936	2	3.94283098655865	4.02542977221548	3.93064589720785	3.85423243128084	3.62519219733891	3.49970144478417	3.52833322049172	3.47827761449826	3.52300572572967	3.9531621841716	3.49196834056471	3.72241555667186	3.52932232231241	3.80777223262339	3.1848221000698	3.74030597003591	4.04424119161218	3.35549210588002	3.79640524502749	4.19333294386354	3.09759618202896	3.48652815603029	4.04890721952622	3.10217999899214	3.60149458395673	3.11740316523938	2.91642774642341	3.43459961427228	3.3666851978768	3.14601801848864	3.31285615451731	3.58577054206228	2.90961364176299	3.91264220157743	3.42037053899506	3.20646580766603	3.63385895850097	3.42963349492618	3.50193487950005	2.88716749039929	3.68865326377397	3.77129759016628	3.27244983212281	3.14810568039163	3.73201315671093	3.72188204170173	3.59418655334227	3.55352349369706	3.52329361975474	3.3347817623839
FT0009	74.0248227084534	74.0248227084534	74.0248227084534	416.766140349024	416.766140349024	416.766140349024	1	2.14514308952408	1.62418567932091	2.67197783230648	2.82106903436206	2.33688049194491	NA	1.66888343995394	NA	NA	NA	2.70309458851247	NA	NA	1.70817079567338	NA	2.57681170921088	1.81487234236296	NA	2.35129325450552	NA	2.82418425206588	NA	NA	3.42788487740623	NA	NA	1.10598970073107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.54470731040758	NA	NA	NA
FT0010	75.0089505725913	75.0089505725913	75.0089505725913	360.014123116168	360.014123116168	360.014123116168	1	2.19324142369812	2.12455323864557	1.78648390745746	1.88481069353406	2.16431719291554	2.32593202687444	1.32612687742536	1.29206487691404	NA	NA	2.666723361805	1.60995798627801	1.94234212590739	1.82556675086171	1.68786147015867	2.11617517999802	1.95274834731561	1.758872767602	NA	2.11540836944072	NA	1.87656206966668	2.00589802271528	2.95931571776546	NA	NA	1.40344161470257	NA	NA	NA	1.22628394434271	0.966495065379672	1.35493009145736	1.04458566551988	1.93358735008175	NA	NA	1.54304635029221	1.83542363964528	0.914669687379144	NA	NA	1.55378764809585	1.49331070126793	1.80184086147342	NA	1.71557020616464	0.784813678573987	1.68582669787276	NA
