feature	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	241008_M274_01_HILIC_pos_B1.mzXML	241008_M274_01_HILIC_pos_B10.mzXML	241008_M274_01_HILIC_pos_B11.mzXML	241008_M274_01_HILIC_pos_B12.mzXML	241008_M274_01_HILIC_pos_B13.mzXML	241008_M274_01_HILIC_pos_B14.mzXML	241008_M274_01_HILIC_pos_B15.mzXML	241008_M274_01_HILIC_pos_B16.mzXML	241008_M274_01_HILIC_pos_B17.mzXML	241008_M274_01_HILIC_pos_B18.mzXML	241008_M274_01_HILIC_pos_B19.mzXML	241008_M274_01_HILIC_pos_B2.mzXML	241008_M274_01_HILIC_pos_B20.mzXML	241008_M274_01_HILIC_pos_B21.mzXML	241008_M274_01_HILIC_pos_B22.mzXML	241008_M274_01_HILIC_pos_B23.mzXML	241008_M274_01_HILIC_pos_B3.mzXML	241008_M274_01_HILIC_pos_B4.mzXML	241008_M274_01_HILIC_pos_B5.mzXML	241008_M274_01_HILIC_pos_B6.mzXML	241008_M274_01_HILIC_pos_B7.mzXML	241008_M274_01_HILIC_pos_B8.mzXML	241008_M274_01_HILIC_pos_B9.mzXML
FT0001	53.0143119811216	53.0143119811216	53.0143119811216	63.2466844306497	63.2466844306497	63.2466844306497	1	4.26612735031234	3.98401148118181	3.52429854743342	3.58541111175199	4.16001993897846	3.53652401694077	3.21915481358574	2.66716655640726	NA	4.04691404809075	3.69835471773193	3.98143523818076	4.06756188502883	4.15765448687912	3.40372299122549	3.14857533195404	3.78921543986659	3.98621379132873	3.99880419972693	4.22168030837099	2.73670016616709	3.58130230066903	3.19051347710937
FT0002	55.054788861825	55.054788861825	55.054788861825	383.802788904945	383.802788904945	383.802788904945	1	2.85783496093145	2.92426106654794	2.91880986466964	2.71768613350239	2.41762002018581	2.67654946022001	2.54553846688557	2.74840666482434	2.56893241190898	2.91590485865914	2.06646153831789	2.84262001429854	2.6268451525018	2.78955290938802	2.92402207498114	2.6810693282279	2.90216036984362	2.64373133304744	2.64164047404197	2.89444411376825	2.63283839868847	2.70950008862106	2.78782687325596
FT0003	58.065638403571	58.0654544499644	58.0658223571775	359.386518635799	352.39982673654	366.373210535057	2	3.27158444218768	2.97315780399554	3.00718193244996	2.99026689701344	3.09265576709361	3.10103245590703	3.24658368196323	3.17238776492146	3.02898960555121	3.16786227790686	2.98231040333757	3.23730555893715	2.93554901320193	3.17392873934561	3.10420134096997	3.00991438403558	3.12590113873265	3.16754144494199	3.21964308256047	3.23848420751494	3.04722314217319	3.06443139493448	3.04764778615943
FT0004	59.0611459698149	59.0609765468665	59.0613136805927	330.278047563844	327.200225209073	347.804338144145	10	4.8135722144993	4.63587613479543	4.45340358941061	4.88884716106012	4.44614175933018	4.24225121346589	4.42878699563944	4.32687403892071	4.40806563664648	4.64923526683906	4.35769430884895	4.67513176500782	4.74090326160711	4.707214797644	4.62725269249302	4.40769471339053	4.78459957046833	4.61104484486419	4.74615585360422	4.78597749881763	4.48172556965787	4.65943667576001	4.18114683435474
FT0005	70.065797954378	70.0652439413724	70.0658680136552	380.031510869872	379.644738506483	388.119709353241	4	3.92081153725381	4.01795539986014	3.84338462602441	4.04077702611827	3.51366276011769	3.83080274050867	3.79354534711767	3.74789616702359	3.58043008953575	3.73364246768615	3.72216637952212	3.62221784319469	3.65320403672162	3.80706941827745	3.32767318142934	3.91831425188459	3.75036046903561	3.55960981741305	3.40673245966726	3.88625056703573	3.70944834733595	3.68033329129842	3.81168093596727
FT0006	70.0655214157726	70.0655214157726	70.0655214157726	344.661463607299	344.661463607299	344.661463607299	1	2.64649057042748	3.21099705922798	3.14453142680438	2.48592149229511	2.73172154156114	2.98792231758199	2.77048793588977	3.00353808129343	3.02805311759827	3.22668174904734	2.51710610249374	3.22233890129785	3.06101362204454	3.2134083316885	3.4227621146173	2.54723232903014	3.22203543914538	3.14676777281401	3.21596017895049	2.84219559171111	3.0710066295966	3.21382672213292	2.74891899492099
FT0007	72.081276521137	72.0809242284137	72.0816831572071	378.062778509962	377.43316269585	383.802788904945	13	3.82506643150044	4.11220390045991	4.0529010376181	4.18418929248487	3.88705520305448	4.03880379098563	4.01270932510587	4.01902897370454	3.98312866453857	3.88188623847772	4.0872872267981	3.92385023083036	4.02741240738209	4.01501982820526	3.78679604645653	4.06897043462133	3.88913928265321	3.94831183567536	3.88479353020236	3.8947695042029	4.02412545330851	3.96160412286092	4.08606070571124
FT0008	74.0602080208171	74.0602080208171	74.0602080208171	101.748438247263	101.748438247263	101.748438247263	1	3.00410417946489	2.74252992029121	2.88125173173459	2.7222213950465	2.64021396402507	2.91084250511919	2.79402612446986	2.99749053150583	2.83193402556629	2.75284359143741	2.48273493344427	2.87701203703676	3.08284623982931	2.6856699417084	2.6357599598829	2.89654972539171	2.9867888435449	2.51791633065211	2.65616743105275	2.64571978439352	2.8452671617332	2.73763900041103	3.11537930766127
FT0009	74.0599226034249	74.0599226034249	74.0599226034249	121.392882157912	121.392882157912	121.392882157912	1	2.56260028722457	2.37484472578873	1.9301054024546	2.47259641244792	2.24055468448016	NA	2.19264936911446	2.58888304928532	2.67690807461357	2.5262415401947	2.45493032623077	2.42010916578937	2.70545895708273	1.95061743351379	2.15426693559641	2.58794496010146	2.49316019940967	2.5435560488641	2.39154696559172	1.95039726496709	1.94334410436952	2.56969746918917	2.89615121334519
FT0010	81.0333487472664	81.0333487472664	81.0333487472664	87.5108418342281	87.5108418342281	87.5108418342281	1	NA	NA	1.97481269882985	NA	1.99967313772198	NA	2.01547254465926	NA	NA	2.10160759178833	1.92719453919906	2.00784994422906	2.04056970366038	NA	1.71305533967788	NA	NA	1.87394691906321	NA	1.40250068813971	1.58729089241264	NA	NA
